pair_id,spec_a,spec_b,spec_a_name,spec_b_name,mem_a_mib,mem_b_mib,total_mem_mib,runtime_a_s,runtime_b_s,runtime_ratio,capacity_mib,guard_mib,usable_capacity_mib
mobilenet_cifar100_bs64_20e_1gpu__PLUS__resnet18_cifar100_bs32_20e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_20e_1gpu.yaml,mobilenet_cifar100_bs64_20e_1gpu.yaml,resnet18_cifar100_bs32_20e_1gpu.yaml,424,494,918,660.12,677.32,0.9746057993267583,11264,512,10752
mobilenet_cifar100_bs128_20e_1gpu__PLUS__resnet18_cifar100_bs64_20e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs64_20e_1gpu.yaml,mobilenet_cifar100_bs128_20e_1gpu.yaml,resnet18_cifar100_bs64_20e_1gpu.yaml,338,514,852,313.72,322.37,0.9731674783633714,11264,512,10752
mobilenet_cifar100_bs64_50e_1gpu__PLUS__resnet34_cifar100_bs64_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs64_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs64_50e_1gpu.yaml,mobilenet_cifar100_bs64_50e_1gpu.yaml,resnet34_cifar100_bs64_50e_1gpu.yaml,424,688,1112,1462.26,1504.8,0.9717304625199362,11264,512,10752
efficientnet_cifar100_bs64_20e_1gpu__PLUS__resnet18_cifar100_bs64_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs64_50e_1gpu.yaml,efficientnet_cifar100_bs64_20e_1gpu.yaml,resnet18_cifar100_bs64_50e_1gpu.yaml,502,514,1016,842.24,814.6,0.9671827507598785,11264,512,10752
inception_imagenet_bs32_1gpu__PLUS__xception_imagenet_bs32_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/inception_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/xception_imagenet_bs32_1gpu.yaml,inception_imagenet_bs32_1gpu.yaml,xception_imagenet_bs32_1gpu.yaml,4862,5382,10244,8278.1,7929.95,0.957943247846728,11264,512,10752
mobilenet_imagenet_bs64_1gpu__PLUS__resnet34_cifar100_bs32_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_imagenet_bs64_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs32_50e_1gpu.yaml,mobilenet_imagenet_bs64_1gpu.yaml,resnet34_cifar100_bs32_50e_1gpu.yaml,5776,686,6462,2548.31,2662.97,0.9569428119730977,11264,512,10752
efficientnet_cifar100_bs32_50e_1gpu__PLUS__resnet50_imagenet_bs64_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs32_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet50_imagenet_bs64_1gpu.yaml,efficientnet_cifar100_bs32_50e_1gpu.yaml,resnet50_imagenet_bs64_1gpu.yaml,396,6728,7124,5138.29,5461.19,0.9408736923637523,11264,512,10752
mobilenet_cifar100_bs128_50e_1gpu__PLUS__resnet18_cifar100_bs64_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs64_50e_1gpu.yaml,mobilenet_cifar100_bs128_50e_1gpu.yaml,resnet18_cifar100_bs64_50e_1gpu.yaml,338,514,852,762.79,814.6,0.9363982322612324,11264,512,10752
efficientnet_cifar100_bs128_50e_1gpu__PLUS__resnet34_cifar100_bs32_20e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs32_20e_1gpu.yaml,efficientnet_cifar100_bs128_50e_1gpu.yaml,resnet34_cifar100_bs32_20e_1gpu.yaml,538,686,1224,973.91,1040.43,0.9360648962448218,11264,512,10752
efficientnet_cifar100_bs32_20e_1gpu__PLUS__efficientnet_cifar100_bs64_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs64_50e_1gpu.yaml,efficientnet_cifar100_bs32_20e_1gpu.yaml,efficientnet_cifar100_bs64_50e_1gpu.yaml,396,502,898,2096.1,1958.5,0.9343542769906016,11264,512,10752
efficientnet_cifar100_bs32_50e_1gpu__PLUS__resnet50_imagenet_bs32_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs32_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet50_imagenet_bs32_1gpu.yaml,efficientnet_cifar100_bs32_50e_1gpu.yaml,resnet50_imagenet_bs32_1gpu.yaml,396,3560,3956,5138.29,5600.61,0.9174518489950202,11264,512,10752
efficientnet_cifar100_bs64_20e_1gpu__PLUS__mobilenet_cifar100_bs128_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs128_50e_1gpu.yaml,efficientnet_cifar100_bs64_20e_1gpu.yaml,mobilenet_cifar100_bs128_50e_1gpu.yaml,502,338,840,842.24,762.79,0.9056682180851063,11264,512,10752
efficientnet_cifar100_bs32_50e_1gpu__PLUS__unet_voc_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs32_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/unet_voc_1gpu.yaml,efficientnet_cifar100_bs32_50e_1gpu.yaml,unet_voc_1gpu.yaml,396,5378,5774,5138.29,4653.18,0.9055892135321284,11264,512,10752
efficientnet_cifar100_bs64_50e_1gpu__PLUS__resnet18_cifar100_bs32_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs64_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_50e_1gpu.yaml,efficientnet_cifar100_bs64_50e_1gpu.yaml,resnet18_cifar100_bs32_50e_1gpu.yaml,502,494,996,1958.5,1743.93,0.8904416645391882,11264,512,10752
mobilenet_cifar100_bs128_50e_1gpu__PLUS__resnet18_cifar100_bs32_20e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_20e_1gpu.yaml,mobilenet_cifar100_bs128_50e_1gpu.yaml,resnet18_cifar100_bs32_20e_1gpu.yaml,338,494,832,762.79,677.32,0.8879508121501332,11264,512,10752
mobilenet_cifar100_bs128_50e_1gpu__PLUS__resnet34_cifar100_bs128_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs128_50e_1gpu.yaml,mobilenet_cifar100_bs128_50e_1gpu.yaml,resnet34_cifar100_bs128_50e_1gpu.yaml,338,684,1022,762.79,671.28,0.8800325122248588,11264,512,10752
efficientnet_cifar100_bs128_20e_1gpu__PLUS__resnet18_cifar100_bs128_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs128_50e_1gpu.yaml,efficientnet_cifar100_bs128_20e_1gpu.yaml,resnet18_cifar100_bs128_50e_1gpu.yaml,538,514,1052,511.71,444.68,0.8690078364698756,11264,512,10752
mobilenet_cifar100_bs128_20e_1gpu__PLUS__resnet34_cifar100_bs128_20e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs128_20e_1gpu.yaml,mobilenet_cifar100_bs128_20e_1gpu.yaml,resnet34_cifar100_bs128_20e_1gpu.yaml,338,684,1022,313.72,272.22,0.8677164350376132,11264,512,10752
mobilenet_cifar100_bs128_50e_1gpu__PLUS__mobilenet_cifar100_bs64_20e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs64_20e_1gpu.yaml,mobilenet_cifar100_bs128_50e_1gpu.yaml,mobilenet_cifar100_bs64_20e_1gpu.yaml,338,424,762,762.79,660.12,0.8654020110384247,11264,512,10752
efficientnet_cifar100_bs128_50e_1gpu__PLUS__efficientnet_cifar100_bs64_20e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs64_20e_1gpu.yaml,efficientnet_cifar100_bs128_50e_1gpu.yaml,efficientnet_cifar100_bs64_20e_1gpu.yaml,538,502,1040,973.91,842.24,0.8648027025084454,11264,512,10752
resnet18_cifar100_bs32_50e_1gpu__PLUS__resnet34_cifar100_bs64_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs64_50e_1gpu.yaml,resnet18_cifar100_bs32_50e_1gpu.yaml,resnet34_cifar100_bs64_50e_1gpu.yaml,494,688,1182,1743.93,1504.8,0.8628786705888424,11264,512,10752
mobilenet_cifar100_bs32_20e_1gpu__PLUS__resnet34_cifar100_bs32_20e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs32_20e_1gpu.yaml,mobilenet_cifar100_bs32_20e_1gpu.yaml,resnet34_cifar100_bs32_20e_1gpu.yaml,344,686,1030,1209.85,1040.43,0.8599661115014259,11264,512,10752
resnet18_cifar100_bs128_50e_1gpu__PLUS__resnet34_cifar100_bs64_20e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs64_20e_1gpu.yaml,resnet18_cifar100_bs128_50e_1gpu.yaml,resnet34_cifar100_bs64_20e_1gpu.yaml,514,688,1202,444.68,520.3,0.8546607726311745,11264,512,10752
resnet18_cifar100_bs64_20e_1gpu__PLUS__resnet34_cifar100_bs128_20e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs128_20e_1gpu.yaml,resnet18_cifar100_bs64_20e_1gpu.yaml,resnet34_cifar100_bs128_20e_1gpu.yaml,514,684,1198,322.37,272.22,0.8444334150200081,11264,512,10752
mobilenet_cifar100_bs32_50e_1gpu__PLUS__resnet34_cifar100_bs32_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs32_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs32_50e_1gpu.yaml,mobilenet_cifar100_bs32_50e_1gpu.yaml,resnet34_cifar100_bs32_50e_1gpu.yaml,344,686,1030,3173.83,2662.97,0.8390398981671986,11264,512,10752
mnist_bs32_1gpu__PLUS__resnet34_cifar100_bs128_20e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mnist_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs128_20e_1gpu.yaml,mnist_bs32_1gpu.yaml,resnet34_cifar100_bs128_20e_1gpu.yaml,808,684,1492,228.27,272.22,0.8385497024465506,11264,512,10752
mobilenet_cifar100_bs64_50e_1gpu__PLUS__resnet18_cifar100_bs32_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs64_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_50e_1gpu.yaml,mobilenet_cifar100_bs64_50e_1gpu.yaml,resnet18_cifar100_bs32_50e_1gpu.yaml,424,494,918,1462.26,1743.93,0.8384854896698835,11264,512,10752
efficientnet_cifar100_bs128_50e_1gpu__PLUS__resnet18_cifar100_bs64_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs64_50e_1gpu.yaml,efficientnet_cifar100_bs128_50e_1gpu.yaml,resnet18_cifar100_bs64_50e_1gpu.yaml,538,514,1052,973.91,814.6,0.836422256676695,11264,512,10752
efficientnet_imagenet_bs64_1gpu__PLUS__resnet34_cifar100_bs32_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs64_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs32_50e_1gpu.yaml,efficientnet_imagenet_bs64_1gpu.yaml,resnet34_cifar100_bs32_50e_1gpu.yaml,6348,686,7034,3186.77,2662.97,0.8356329449568057,11264,512,10752
efficientnet_cifar100_bs32_20e_1gpu__PLUS__resnet18_cifar100_bs32_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_50e_1gpu.yaml,efficientnet_cifar100_bs32_20e_1gpu.yaml,resnet18_cifar100_bs32_50e_1gpu.yaml,396,494,890,2096.1,1743.93,0.8319879776728211,11264,512,10752
resnet18_cifar100_bs32_20e_1gpu__PLUS__resnet18_cifar100_bs64_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs64_50e_1gpu.yaml,resnet18_cifar100_bs32_20e_1gpu.yaml,resnet18_cifar100_bs64_50e_1gpu.yaml,494,514,1008,677.32,814.6,0.8314755708323104,11264,512,10752
efficientnet_imagenet_bs32_1gpu__PLUS__resnet34_cifar100_bs32_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs32_50e_1gpu.yaml,efficientnet_imagenet_bs32_1gpu.yaml,resnet34_cifar100_bs32_50e_1gpu.yaml,3438,686,4124,3204.07,2662.97,0.8311210429235315,11264,512,10752
resnet50_imagenet_bs32_1gpu__PLUS__unet_voc_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet50_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/unet_voc_1gpu.yaml,resnet50_imagenet_bs32_1gpu.yaml,unet_voc_1gpu.yaml,3560,5378,8938,5600.61,4653.18,0.8308344983849975,11264,512,10752
mobilenet_imagenet_bs32_1gpu__PLUS__resnet34_cifar100_bs32_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs32_50e_1gpu.yaml,mobilenet_imagenet_bs32_1gpu.yaml,resnet34_cifar100_bs32_50e_1gpu.yaml,3032,686,3718,3207.93,2662.97,0.8301209814428618,11264,512,10752
mobilenet_cifar100_bs32_20e_1gpu__PLUS__mobilenet_cifar100_bs64_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs64_50e_1gpu.yaml,mobilenet_cifar100_bs32_20e_1gpu.yaml,mobilenet_cifar100_bs64_50e_1gpu.yaml,344,424,768,1209.85,1462.26,0.8273836390245236,11264,512,10752
resnet18_cifar100_bs64_50e_1gpu__PLUS__resnet34_cifar100_bs128_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs64_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs128_50e_1gpu.yaml,resnet18_cifar100_bs64_50e_1gpu.yaml,resnet34_cifar100_bs128_50e_1gpu.yaml,514,684,1198,814.6,671.28,0.8240608887797691,11264,512,10752
efficientnet_cifar100_bs32_20e_1gpu__PLUS__mobilenet_imagenet_bs64_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_imagenet_bs64_1gpu.yaml,efficientnet_cifar100_bs32_20e_1gpu.yaml,mobilenet_imagenet_bs64_1gpu.yaml,396,5776,6172,2096.1,2548.31,0.8225451377579651,11264,512,10752
efficientnet_cifar100_bs64_20e_1gpu__PLUS__resnet34_cifar100_bs32_20e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs32_20e_1gpu.yaml,efficientnet_cifar100_bs64_20e_1gpu.yaml,resnet34_cifar100_bs32_20e_1gpu.yaml,502,686,1188,842.24,1040.43,0.8095114519958094,11264,512,10752
efficientnet_cifar100_bs128_50e_1gpu__PLUS__mobilenet_cifar100_bs32_20e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs32_20e_1gpu.yaml,efficientnet_cifar100_bs128_50e_1gpu.yaml,mobilenet_cifar100_bs32_20e_1gpu.yaml,538,344,882,973.91,1209.85,0.8049840889366451,11264,512,10752
efficientnet_cifar100_bs64_20e_1gpu__PLUS__resnet18_cifar100_bs32_20e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_20e_1gpu.yaml,efficientnet_cifar100_bs64_20e_1gpu.yaml,resnet18_cifar100_bs32_20e_1gpu.yaml,502,494,996,842.24,677.32,0.804188829787234,11264,512,10752
mobilenet_cifar100_bs32_20e_1gpu__PLUS__resnet34_cifar100_bs64_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs64_50e_1gpu.yaml,mobilenet_cifar100_bs32_20e_1gpu.yaml,resnet34_cifar100_bs64_50e_1gpu.yaml,344,688,1032,1209.85,1504.8,0.8039938862307283,11264,512,10752
mobilenet_cifar100_bs32_50e_1gpu__PLUS__mobilenet_imagenet_bs64_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs32_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_imagenet_bs64_1gpu.yaml,mobilenet_cifar100_bs32_50e_1gpu.yaml,mobilenet_imagenet_bs64_1gpu.yaml,344,5776,6120,3173.83,2548.31,0.8029131995097406,11264,512,10752
